nohup: ignoring input
/home/chenjx/Code/test01
 Epoch:61 -> lossA : 0.06064293533563614 , time_cost = 1.30s
 Epoch:62 -> lossA : 0.04685596004128456 , time_cost = 1.40s
 Epoch:63 -> lossA : 0.055720485746860504 , time_cost = 1.42s
 Epoch:64 -> lossA : 0.055785682052373886 , time_cost = 1.69s
 Epoch:65 -> lossA : 0.051197873428463936 , time_cost = 1.25s
 Epoch:66 -> lossA : 0.05237341672182083 , time_cost = 1.42s
 Epoch:67 -> lossA : 0.04514103662222624 , time_cost = 1.54s
 Epoch:68 -> lossA : 0.06347876973450184 , time_cost = 1.25s
 Epoch:69 -> lossA : 0.05239970237016678 , time_cost = 1.53s
 Epoch:70 -> lossA : 0.06240372732281685 , time_cost = 1.24s
 Epoch:71 -> lossA : 0.05785727687180042 , time_cost = 1.26s
 Epoch:72 -> lossA : 0.055413395166397095 , time_cost = 1.29s
 Epoch:73 -> lossA : 0.041340772062540054 , time_cost = 1.24s
 Epoch:74 -> lossA : 0.04888826794922352 , time_cost = 1.28s
 Epoch:75 -> lossA : 0.06100386194884777 , time_cost = 1.26s
 Epoch:76 -> lossA : 0.04761989042162895 , time_cost = 1.25s
 Epoch:77 -> lossA : 0.04254560545086861 , time_cost = 1.26s
 Epoch:78 -> lossA : 0.06005714647471905 , time_cost = 1.26s
 Epoch:79 -> lossA : 0.042642186395823956 , time_cost = 1.28s
 Epoch:80 -> lossA : 0.05161990597844124 , time_cost = 1.24s
 Epoch:81 -> lossA : 0.04728762060403824 , time_cost = 1.23s
 Epoch:82 -> lossA : 0.06594263389706612 , time_cost = 1.32s
 Epoch:83 -> lossA : 0.05317806825041771 , time_cost = 1.24s
 Epoch:84 -> lossA : 0.053205642849206924 , time_cost = 1.23s
 Epoch:85 -> lossA : 0.04861077107489109 , time_cost = 1.24s
 Epoch:86 -> lossA : 0.04997878335416317 , time_cost = 1.21s
 Epoch:87 -> lossA : 0.04968102462589741 , time_cost = 1.28s
 Epoch:88 -> lossA : 0.06687477231025696 , time_cost = 1.27s
 Epoch:89 -> lossA : 0.06457327492535114 , time_cost = 1.18s
 Epoch:90 -> lossA : 0.049516139551997185 , time_cost = 1.28s
 Epoch:91 -> lossA : 0.04905587621033192 , time_cost = 1.23s
 Epoch:92 -> lossA : 0.05834505893290043 , time_cost = 1.32s
 Epoch:93 -> lossA : 0.04836592637002468 , time_cost = 1.34s
 Epoch:94 -> lossA : 0.044426197186112404 , time_cost = 1.27s
 Epoch:95 -> lossA : 0.05336747318506241 , time_cost = 1.28s
 Epoch:96 -> lossA : 0.046888090670108795 , time_cost = 1.25s
 Epoch:97 -> lossA : 0.04698607139289379 , time_cost = 1.24s
 Epoch:98 -> lossA : 0.0550880953669548 , time_cost = 1.34s
 Epoch:99 -> lossA : 0.056858958676457405 , time_cost = 1.24s
 Epoch:100 -> lossA : 0.06587793305516243 , time_cost = 1.57s
MAE = 0.7920792079207921 , MSE = 1.4059405940594059 , QWK = 0.2789393166751657, C-index = 0.4105608893380495
 Epoch:1 -> lossA : 0.09224049746990204 , lossR : 0.07375475517294025, loss_total : 0.15124430160825425 , time_cost :  106.49s
 Epoch:2 -> lossA : 0.07837893441319466 , lossR : 0.0646667292763515, loss_total : 0.13011231783427585 , time_cost :  107.33s
